Paper,title,pilot,period_of_study,methods,themes,blockchain_failures,blockchain_successes,sentiment,other_details,paper_name
10,Exploring the application of blockchain to humanitarian supply chains: insights from Humanitarian Supply Blockchain pilot project,Humanitarian Supply Blockchain pilot project tracking plastic sheeting shelter kits from Pakistan to Dubai.,Data collected mainly in 2020 through focus group and interviews with pilot stakeholders.,"Used a two-stage multi-method approach: focus group discussions with 21 humanitarian blockchain practitioners and academicians, followed by a qualitative case study with 10 semi-structured interviews of senior managers and technical experts involved in the pilot.","Key themes include blockchain drivers and barriers in humanitarian supply chains, transparency, trust, accountability, visibility, traceability, collaboration, technical and governance challenges.","Challenges included low engagement levels, lack of technical skills and training, downstream implementation issues, lack of resources, privacy concerns, regulatory problems, governance challenges, pilot scalability issues, and data accuracy problems.","Blockchain improved accountability, visibility, traceability, and trust (both commitment and swift trust) in the humanitarian supply chain pilot. It also reduced administrative costs and improved time efficiency through smart contracts, and enhanced collaboration among multiple organizations.","Overall positive about blockchain's potential to improve transparency and trust in humanitarian supply chains, but cautious due to significant implementation barriers and the pilot's limited scale and scope.","• The study provides the first empirical evidence from an actual humanitarian blockchain project.
• Focus group participants rated visibility as the highest driver and identified resource limitations, costs, and privacy as major barriers.
• The pilot involved multiple organizations working on a shared tracking system, demonstrating feasibility.
• Blockchain's private permissioned architecture may limit benefits to humanitarian organizations rather than beneficiaries.
• Smart contracts facilitated automated processes reducing paperwork and disputes.
• The study highlights discrepancies between conceptual literature and real-world pilot findings, especially regarding downstream implementation challenges.
• The contingent resource-based view was used to frame how blockchain benefits depend on contextual factors and barriers.
• The research suggests blockchain adoption in humanitarian supply chains requires careful assessment and piloting before scaling.
• Future research should include more cases, diverse geographic contexts, and focus on downstream supply chain challenges.
• Practitioners are advised to consider blockchain as one option among others, with attention to trade-offs and organizational readiness.",Exploring the application of blockchain to humanitarian supply chains: insights from Humanitarian Supply Blockchain pilot project.pdf
11,How could Blockchain technology revolutionise humanitarian aid?,"Pilot programs by WFP in Jordan and Aid: Tech in Lebanon, Tanzania, and Serbia.",Analysis based on projects and literature up to 2021.,"The paper uses case studies of blockchain implementations in humanitarian aid, including WFP's Building Blocks on Ethereum, Aid: Tech's digital identity projects, and Oxfam's UnBlocked Cash solution with e-vouchers and smartphone apps.","The paper focuses on transparency, traceability, transaction cost reduction, coordination among actors, and rapid aid delivery enabled by blockchain technology.",N/A,"Blockchain has reduced transaction fees significantly, improved transparency and traceability of funds, enabled faster aid delivery, empowered local communities economically, and increased digital literacy among beneficiaries.",Optimistic about blockchain's potential to improve humanitarian aid despite not being a complete solution.,"• Current humanitarian aid suffers from inefficiencies, high transaction costs, corruption, and lack of transparency.
• Blockchain provides immutable, time-stamped data accessible to all stakeholders, reducing information asymmetry.
• Smart contracts on blockchain ensure conditional and transparent fund disbursement.
• WFP's Building Blocks saved approximately $150,000 monthly by cutting bank fees and helped over 100,000 Syrian refugees.
• Aid: Tech used blockchain-based digital identities to improve aid delivery and remittances.
• Oxfam's UnBlocked Cash project used blockchain tokens and e-vouchers to aid over 35,000 users in Vanuatu, promoting financial inclusion and reducing gender-based violence risks.
• Blockchain enables vendor-to-vendor cash-out, boosting local economic recovery.
• The technology helps donors track funds in real-time, increasing accountability.
• Despite challenges, blockchain offers promising alternatives to current humanitarian aid practices.",How could Blockchain technology revolutionise humanitarian aid.pdf
12,Blockchain-enabled humanitarian aid: A case study of the World Food Programme,Case study of the UN World Food Programme's Building Blocks pilot in a Jordan refugee camp.,Pilot initiated in 2017 with data collection ongoing as of 2021.,"Used a grounded theory approach with semi-structured interviews, document analysis, and observations. Data collected from WFP staff and external experts involved in the Building Blocks project. Analysis includes open, axial, and selective coding.","Explores Blockchain implementation in humanitarian aid, focusing on benefits, risks, ethical concerns, social, political, economic, and technological factors affecting adoption and effectiveness.","Challenges include high energy consumption, limited internet and electricity access in crisis areas, privacy concerns related to biometric data, skepticism from political and financial stakeholders, and workload shifts in aid organizations.","Improved transaction transparency, reduced reconciliation time, secure and immutable record-keeping, enhanced beneficiary identification via iris scans, and plans for scaling to serve over 500,000 refugees.",Cautiously optimistic; recognizes Blockchain's potential to improve humanitarian aid but highlights significant implementation challenges and ethical concerns.,"• Building Blocks uses Ethereum-based private permission Blockchain to control network access.
• Refugees identified and authenticated via iris scans linked to Blockchain wallets.
• The pilot recorded over 100,000 transactions serving 100,500 beneficiaries with $1 million in aid.
• Data triangulation was employed using interviews, archival records, and documentation.
• The study aims to provide insights for humanitarian organizations considering Blockchain adoption.
• Preliminary findings indicate political skepticism and infrastructural limitations as barriers.
• The research intends to build theory on Blockchain's social, political, economic, and technological implications in aid.
• The project contributes to debates on enhancing aid effectiveness through technology.
• Further interviews planned to reach data saturation and deepen thematic analysis.
• Ethical concerns include potential violations of privacy and freedom due to biometric tracking.
• The study is positioned as research-in-progress with ongoing data collection and analysis.",Blockchain-enabled humanitarian aid A case study of the World Food Programme.pdf
13,Individuals' attitudes and their adoption intentions of central bank digital currency: Combining theories and analytics for deeper insights,"Survey of 310 participants in Lagos, Nigeria, a pioneering CBDC nation.",Data collected between November 2021 and March 2022.,"Used a multi-theoretical framework combining valence theory, social cognitive theory, and theory of reasoned action. Employed partial least squares structural equation modelling (PLS-SEM) and fuzzy-set qualitative comparative analysis (fsQCA) for data analysis.","Examined affordance-based positive valences (seamless transactions, time convenience, financial inclusion), constraint-based negative valences (perceived financial cost, cognitive effort, perceived risk), social cognitive factors (trust in central bank, lifestyle compatibility, subjective norms), attitudes, and use intentions towards CBDC adoption.","Low active usage of Nigeria's eNaira (<2% population) despite early launch. Perceived financial cost is a significant barrier. Cognitive effort showed marginal negative impact, and perceived risk was not significant in this context.","Affordance-based positive valences such as seamless transactions, time convenience, and financial inclusion strongly predict positive attitudes and use intentions. Trust in the central bank and lifestyle compatibility are necessary conditions for high CBDC use intention. Six alternative configurations sufficient for high use intention were identified, highlighting multiple adoption pathways.","Overall positive sentiment towards CBDC adoption driven by perceived benefits and societal inclusion, with some concerns about financial cost. Trust and social norms showed limited direct influence on attitudes in this context.","• The study integrates valence theory, social cognitive theory, and theory of reasoned action to provide a comprehensive understanding of CBDC adoption.
• Lagos was chosen for its economic prominence and cultural diversity, making findings generalizable across Nigeria.
• The questionnaire was validated by experts and pre-tested before main data collection.
• Common method bias was assessed and found to be negligible.
• PLS-SEM results showed that time convenience, financial inclusion, and seamless transactions are the strongest predictors of positive attitudes.
• FsQCA revealed that financial inclusion, seamless transactions, trust in the central bank, lifestyle compatibility, and positive attitude are necessary for high use intention.
• Six distinct configurations of factors leading to high CBDC use intention were identified, emphasizing the complexity of adoption decisions.
• The study highlights the importance of promoting societal benefits and user-centric technology to enhance CBDC uptake.
• Findings contribute to understanding the role of CBDCs in achieving Sustainable Development Goals, especially financial inclusion and reduced inequalities.
• Limitations include potential overlooked factors and the need for cross-country and qualitative studies to deepen insights.
• The research was self-funded and authors declare no competing interests.
• The study sets a methodological precedent by combining PLS-SEM and fsQCA in fintech adoption research.",Individuals' attitudes and their adoption intentions of central bank digital currency Combining the.pdf
14,Aid Nexus : A Blockchain Based Financial Distribution System,N/A,N/A,"The system uses a consortium blockchain with a Solidity-based smart contract to manage financial aid distribution. It includes functions for adding/removing recipients, registering bank accounts with encryption, adding funds, and sending allowances. The platform features a user interface for organizations to interact with the smart contract, ensuring secure, transparent, and auditable transactions.","Blockchain technology, consortium blockchain, smart contracts, financial aid distribution, transparency, security, process automation, digital identity verification.",The paper notes limitations of consortium blockchain such as scalability and interoperability challenges. Regulatory constraints and user adoption issues are also mentioned as obstacles to broader implementation.,"The AidNeux system demonstrates improved transparency, efficiency, and security in pension fund distribution by eliminating intermediaries and enabling real-time auditability. The use of smart contracts automates processes and reduces fraud risks. Consortium blockchain balances privacy and transparency effectively.","Positive about the transformative potential of consortium blockchain in financial aid distribution, while acknowledging current technical and regulatory challenges.","• AidNeux operates within a consortium blockchain framework involving multiple entities including fund distributors, recipients, and financial service providers.
• The organization node controls the system and manages smart contracts, recipients, and funds.
• Recipient bank accounts are stored securely using keccak256 encryption.
• The system logs key events to facilitate auditing and transparency.
• The user interface is designed to be intuitive, allowing non-technical users to interact with the blockchain functions indirectly.
• Future work should address scalability, interoperability, and regulatory frameworks to enhance adoption.
• The paper provides detailed algorithms for smart contract functions including constructor, add/remove recipient, send allowance, add funds, get balance, and register bank account.
• The system aims to reduce administrative costs and corruption risks in financial aid distribution.
• Consortium blockchain is highlighted as a promising technology for various industries beyond finance, including healthcare, transportation, and smart cities.",Aid Nexus: A Blockchain Based Financial Distribution System.pdf
15,Blockchain for Social Impact: Empowering Vulnerable Communities Against Climate Shocks in Nepal,Pilot of Rahat's blockchain-enabled anticipatory action module conducted in September 2024 in four districts of Nepal's Terai region.,"Research and fieldwork conducted from 2024 to 2025, with pilot implementation in September 2024 and data collection in May 2025.","Used blockchain-based platform Rahat integrating SMS, IVR, mobile apps, and QR-coded tokens for aid delivery. Conducted semi-structured interviews with stakeholders including implementers, government officials, and beneficiaries. Data analyzed through structured coding focusing on effectiveness, challenges, and community perceptions.","Anticipatory action in disaster risk management, blockchain technology for humanitarian aid, financial inclusion of vulnerable populations, multi-stakeholder coordination, digital literacy, and scaling challenges in Nepal's disaster response.","Challenges include Nepal's ban on cryptocurrency, low blockchain literacy among stakeholders, limited mobile access for field staff, connectivity issues causing manual resolution of double spending, and confusion around blockchain technology reducing stakeholder engagement.","Blockchain enabled transparent, traceable, and auditable aid distribution with multisignatory triggers and real-time monitoring. It centralized fragmented communication and data management, improved accountability, reduced duplication, and built trust among humanitarian actors and beneficiaries.","Overall positive about blockchain's potential to enhance anticipatory action and disaster response, tempered by recognition of structural, regulatory, and technological barriers that limit scalability and require ongoing improvements and policy advocacy.","• Rahat platform supports multimodal beneficiary access including SMS, IVR, mobile apps, and QR-coded physical tokens to reach marginalized groups.
• The anticipatory action pilot delivered cash to 774 beneficiaries with disabilities within 5 hours and sent early warnings to over 4,500 people.
• Capacity-building workshops on digital financial literacy and anticipatory action were critical to project success and community empowerment.
• Partnerships with humanitarian organizations like Danish Red Cross and Nepal Red Cross were essential but highlighted bureaucratic and coordination challenges.
• Lack of a national anticipatory action policy and sustainable funding models hinder long-term impact and scale.
• The platform's dashboard centralized disaster response coordination, beneficiary management, and early warning communication.
• Offline functionality and custodial wallets enabled aid delivery despite poor internet connectivity and low digital literacy.
• Future improvements include mobile dashboard versions, AI integration for decision-making, expanded hazard monitoring, and broader financial service partnerships.
• Blockchain is used as an information management tool rather than cryptocurrency, which is banned in Nepal.
• The research team recommends tailored blockchain communication, continuous design consultation, and evidence generation to support funding and scale-up.
• The study emphasizes the importance of anticipatory action to shift disaster response from reactive to proactive, reducing human and property losses.
• Rahat's technology and approach have potential applications beyond floods, including other hazards and development contexts.
• The project demonstrates how frontier technologies can be localized and co-developed with communities to foster resilience and dignity in humanitarian aid.",Blockchain for Social Impact: Empowering Vulnerable Communities Against Climate Shocks in Nepal.pdf
16,Conjuring a Blockchain Pilot: Ignorance and Innovation in Humanitarian Aid,Ethnographic study of a blockchain pilot delivering financial aid to refugee women in Jordan camps.,May 2018 to December 2019 with follow-up until 2021.,"Participant observation, 5 participatory workshops, over 30 key informant interviews, review of grey literature, and ongoing communication with stakeholders.","Ignorance and expertise in blockchain adoption, humanitarian innovation as spectacle, power asymmetries in aid, blockchain's actual vs promoted benefits, and the politics of knowledge and ignorance.","The blockchain system was overly complex and unnecessary; a simple database would have sufficed. Refugees and local aid workers had limited access and control over the system. The pilot disrupted existing economic routines and created new problems, including alienation of aid workers and diffusion of responsibilities. Promised benefits like empowerment and transparency were largely illusory or inaccessible to beneficiaries.","The pilot reduced transaction fees by bypassing banks, improved donor recognition and funding for aid organisations, and introduced biometric verification for payments. It served as a successful innovation spectacle that attracted investment and maintained organisational reputations.","Critical and skeptical of blockchain's practical utility in humanitarian aid, emphasizing ignorance and spectacle over meaningful impact, while acknowledging some organisational and financial benefits.","• The blockchain pilot was a private, permissioned Ethereum-based system with limited decentralisation.
• Aid workers and refugees had minimal understanding or control over blockchain technology.
• Ignorance was both strategic and inadvertent, involving confusion, illusion, disappearance, and misdirection.
• The pilot primarily benefited innovators, private partners, and international donors rather than refugees.
• Blockchain adoption reinforced existing organisational hierarchies and power imbalances.
• Refugee women's financial inclusion was constrained by local labour policies and system design.
• The pilot's promotional narratives often conflated blockchain with unrelated digital features.
• Aid organisations used blockchain as a marketing tool to secure funding and legitimacy.
• The pilot's technical governance was dominated by external partners, limiting local agency.
• The research highlights the role of ignorance in technology governance and market creation.
• The study critiques the neocolonial dynamics embedded in humanitarian blockchain projects.
• The blockchain pilot continues to operate but with ongoing questions about its necessity and impact.",Conjuring a Blockchain Pilot Ignorance and Innovation in Humanitarian Aid.pdf
17,A New Paradigm in Blockchain-based Financial Aid Distribution,Proposed consortium blockchain-based decentralized application for pension fund distribution.,N/A,"Implemented a consortium blockchain using Hyperledger Besu with smart contracts written in Solidity. Developed a private decentralized network and deployed smart contracts for managing recipients, fund distribution, and bank account registration. Used off-chain transactions integration for enhanced control and efficiency.","Blockchain technology in financial aid distribution, consortium blockchain advantages, smart contract automation, transparency, security, and auditability in fund transfers.","Challenges include scalability, interoperability, regulatory constraints, and user adoption issues. Limited computational resources and ephemeral nature of some networks pose obstacles. Need for robust regulatory frameworks and improved interoperability.","The system ensures secure, transparent, and efficient pension fund distribution with reduced corruption and administrative costs. Smart contracts enable real-time auditability and accountability. Private consortium blockchain provides transaction secrecy, data privacy, and leverages Ethereum infrastructure.","Optimistic about the transformative potential of consortium blockchain despite existing challenges. Emphasizes future research on scalability, interoperability, AI integration in smart contracts, and legal frameworks.","• The system uses aNp smart contract with functions for adding/removing recipients, registering bank accounts, adding funds, sending allowances, and balance checking.
• Smart contract operations are restricted to the organization address to ensure control and security.
• Event logs are generated for auditability and transparency.
• The private network deployment on Hyperledger Besu enhances robustness and scalability.
• The proposed system integrates off-chain transactions with blockchain for improved efficacy.
• UML diagrams illustrate system components, interactions, and workflows.
• Future work includes enhancing interoperability, scalability, AI integration, and understanding socioeconomic impacts.
• The paper synthesizes literature across industries, highlighting blockchain's broad applicability beyond finance.",A New Paradigm in Blockchain-based Financial Aid Distribution.pdf
18,GLOBAL PAYMENT SOLUTIONS FOR HUMANITARIAN CASH ASSISTANCE,IFRC regional prepaid card solution in the Americas since 2014.,"Consultations and analysis conducted up to 2022, including COVID-19 and Ukraine crises.","Mixed qualitative and quantitative research including desk reviews, key informant interviews, focus group discussions, and online surveys. Data triangulated from primary and secondary sources. Shortlisted countries and payment providers analyzed.","Need for scalable global payment solutions for humanitarian cash assistance. Models for implementation including aggregator, suite of solutions, and partnerships. Engagement with private sector. Considerations for costs, user preferences, local implementation, data integration, and challenging contexts. Use of blockchain and cryptocurrencies. Case studies from COVID-19, Ukraine crisis, and Lebanon.","Blockchain solutions face challenges including weak regulations, volatility of cryptocurrencies, low trust, and perception of high risks. Adoption is limited and pilots are still evaluating effectiveness and risks.","Several pilots demonstrated benefits such as improved traceability, reduced intermediaries, real-time analytics, and access in restricted contexts. Examples include Oxfam's Project Unblocked Cash in Vanuatu, Hope for Haiti's nutrition programme, Mercy Corps' refugee voucher system, and cryptocurrency use in Afghanistan during banking collapse.","The report is cautiously optimistic about global payment solutions, emphasizing their potential to complement local solutions and address procurement bottlenecks. It highlights the need for private sector engagement, realistic expectations, and further research on innovative technologies like blockchain.","• IFRC aims to reach 50% humanitarian assistance via cash and vouchers by 2025. 
• Procurement delays with local financial service providers (FSPs) can take up to six months, hindering emergency response. 
• A global payment solution could reduce intermediaries and speed up cash delivery. 
• Three models proposed: aggregator, suite of payment solutions, and partnerships with multinational companies. 
• Engagement with private sector is essential to build trust and develop tailored financial products. 
• Global solutions are generally more expensive but offer convenience and risk management. 
• User preferences and local context variations must be considered for payment mechanisms. 
• Integration with data management systems is critical for secure, transparent, and efficient cash transfers. 
• Challenging contexts like sanctions, liquidity crises, and currency devaluation limit the effectiveness of global payment solutions. 
• Informal systems like hawala and blockchain-based solutions may offer alternatives in complex environments. 
• Case studies show mixed experiences: prepaid cards helped in Americas and COVID-19 response; MoneyGram remittance scaled cash in Ukraine crisis; Lebanon's economic collapse challenges standard payment methods. 
• Recommendations include combining models, increasing private sector engagement through market dialogues, linking global solutions to cash preparedness, and piloting solutions to build local capacity. 
• Global payment solutions are not replacements but complements to local procurement, prioritizing contexts with repeat disasters and multi-country emergencies.","International Federation of Red Cross and Red Crescent Societies, Geneva.pdf"
19,UN WOMEN-WFP BLOCKCHAIN PILOT PROJECT FOR CASH TRANSFERS IN REFUGEE CAMPS Jordan Case Study,Pilot tested blockchain cash transfers to 467 women in Za'atari and Azraq refugee camps in Jordan.,"June 2019 to April 2020, with assessments conducted between June 2019 and January 2020.","Used a private, permissioned blockchain integrated with iris-scan biometric authentication at WFP supermarkets to securely transfer cash-for-work salaries to women. Conducted baseline, midline, and planned endline monitoring reports, focus groups, and independent value assessments by the University of Oxford Internet Institute.","Blockchain for humanitarian cash transfers, women's economic empowerment, biometric authentication, financial inclusion, digital and financial literacy, inter-agency collaboration, and resilience during emergencies.",Some initial issues included occasional cash shortages at supermarkets and delays in salary disbursement outside the pilot due to COVID-19 restrictions. The endline assessment was postponed due to pandemic-related travel restrictions.,"Blockchain enabled secure, flexible, and remote cash transfers with iris-scan authentication, increased beneficiary control and financial independence, improved efficiency and cost reductions for UN Women and WFP, enhanced security and reduced fraud risk, greater oversight and transparency, and resilience during COVID-19 lockdowns allowing uninterrupted payments.","Overall positive; blockchain is seen as a transformative tool for empowering refugee women, improving aid delivery efficiency, and enhancing security and transparency in humanitarian cash transfers.","• The pilot allowed women to withdraw salaries weekly instead of monthly, increasing flexibility.
• Beneficiaries could choose to withdraw cash, pay at supermarkets, or save funds in digital wallets.
• Iris-scan biometric authentication ensured only the wallet owner could access funds, enhancing safety.
• Digital wallets encouraged saving and budgeting among beneficiaries.
• UN Women provided financial literacy training and budgeting seminars to increase digital literacy.
• The pilot reduced administrative burdens and costs by automating cash disbursement.
• Blockchain data enabled UN Women to analyze spending patterns to inform programming.
• The pilot marked the first UN collaboration using a common blockchain network across agencies, promoting aid harmonization.
• The system proved resilient during COVID-19, enabling remote salary payments despite lockdowns.
• UN Women decided to scale up the blockchain cash transfer approach to all camp-based Oasis programs as of June 2020.
• Future plans include exploring blockchain rollouts in host community settings in partnership with the Ministry of Social Development.
• The contactless iris-scan method provided a hygienic payment option during the pandemic.
• Blockchain reduced risks of theft and fraud and improved accountability to donors.
• The pilot demonstrated blockchain's potential beyond cash transfers, including aid coordination and supply chain tracking.
• The project received support from multiple governments and UN Women National Committees.
• The pilot involved multi-stakeholder workshops and private sector partnerships to develop solutions.",UN WOMEN-WFP BLOCKCHAIN PILOT PROJECT FOR CASH TRANSFERS IN REFUGEE CAMPS JORDAN CASE STUDY.pdf
20,Between efficiency and do no harm: Blockchain-based innovation in cash and voucher assistance,"Multiple case study of three humanitarian blockchain CVA projects: WFP's Building Blocks in Jordan, Oxfam's UnBlocked Cash in Vanuatu, and Finn Church Aid's Kenya Feasibility Study.",Cases span from 2017 to 2019; research conducted in 2022-2023.,Used abductive qualitative research with multiple case studies. Analyzed secondary documents for WFP and Oxfam cases and conducted semi-structured interviews plus document analysis for Finn Church Aid case. Data analyzed via thematic and content analysis with triangulation.,"Key themes include efficiency, transparency, privacy, biometrics, disintermediation, digital harm, and humanitarian principles.","Blockchain implementations often did not fully disintermediate traditional financial actors and sometimes functioned as private, permissioned ledgers with limited decentralization. Beneficiaries often lacked transparency into their own data. Risks include data immutability conflicting with data protection, surveillance potential, dependency on technical partners, exclusion of vulnerable groups, and technology malfunctions.","Blockchain enabled cost and time savings, increased transparency and accountability to donors, improved traceability, reduced corruption risks, and empowered beneficiaries by enabling choice. Biometrics facilitated inclusion of undocumented and mobile populations and enhanced security. Programs demonstrated potential for faster, cheaper, and more secure cash transfers.","Balanced with cautious optimism. Practitioners emphasize practical benefits and manageable risks, while academic literature highlights systemic risks and ethical concerns. Overall, blockchain is seen as promising but requiring careful design and context consideration.","• The study identified twelve risk factors for beneficiaries, grouped into five categories: immutability, distribution, decentralization, digital technology, and biometrics.
• Seven managerial measures are proposed for humanitarian organizations to mitigate digital harm, including assessing the need for blockchain, considering context and infrastructure, involving beneficiaries, ensuring inclusion, choosing partners carefully, and embedding data protection by design.
• The research highlights a mismatch between academic skepticism and practitioner optimism regarding biometrics, with practitioners viewing them as inclusion tools and academics emphasizing privacy risks.
• Transparency benefits mostly accrue to donors, while beneficiaries often remain opaque to their own transaction data.
• Blockchain implementations in humanitarian CVA are often private and permissioned, limiting decentralization and sometimes resembling traditional databases.
• Dependency on technical partners without sufficient internal expertise poses operational risks.
• The principle of 'do no digital harm' extends humanitarian ethics into digital data management and technology use.
• The study emphasizes the importance of beneficiary involvement in design to avoid technocolonialism and power imbalances.
• Limitations include small interview sample size and confidentiality constraints on some data.
• Future research avenues include evolving risks, digitalization's impact on beneficiary roles, and service design in humanitarian supply chains.",Between efficiency and do no harm: Blockchain-based innovation in cash and voucher assistance.pdf
21,Blockchain Open Loop Cash Transfer Pilot Project,"Pilot project assisting over 2,000 drought-affected households in Isiolo County, Kenya.",May 2018 with a six-month project timeline.,Used a private blockchain built on Multichain integrated with a data management system by Red Rose and mobile money disbursements via Safaricom M-Pesa. Beneficiaries were registered with personal data and assigned blockchain keys. Transactions were recorded immutably on the blockchain alongside traditional records. Consent was obtained from beneficiaries using mobile devices. The system automated cash disbursement and tracking through APIs.,"Exploration of blockchain for transparency and accountability in cash transfer programming, digital identity management, data privacy and consent, integration of humanitarian and private sector technologies, and auditability of transactions.",Limited querying capabilities of the blockchain interface restricted data analysis. The immutability of blockchain complicated correction of erroneous transactions. Intellectual property negotiations delayed private sector partnerships. Challenges remain in obtaining fully informed consent due to blockchain complexity and data privacy regulations like GDPR. The pilot did not fully decouple digital ID management from data management systems.,"Blockchain provided an immutable, tamper-proof ledger that increased transparency and accountability of cash transfers. Integration with mobile money enabled efficient, timely disbursement of funds. The system improved auditability by triangulating data across platforms. Offline data collection and API integrations enhanced operational resilience. Beneficiaries quickly spent cash assistance addressing immediate needs. The pilot demonstrated blockchain's potential as a disruptive innovation in humanitarian cash programming.","Positive about blockchain's potential to improve transparency and efficiency in humanitarian cash transfers, while acknowledging significant challenges related to data privacy, consent, technology integration, and intellectual property.","• The pilot was implemented by IFRC in collaboration with Kenya Red Cross Society in a drought-affected arid region.
• Beneficiary data included name, phone number, and national ID to meet local mobile money requirements.
• The blockchain was permissioned with four nodes controlled by IFRC, KRCS, and Red Rose.
• Red Rose's data management platform worked offline and integrated with financial systems via APIs.
• Safaricom M-Pesa was the primary cash transfer mechanism due to its widespread use in Kenya.
• The pilot raised questions about the compatibility of GDPR with immutable blockchain data.
• Self-sovereign digital identity concepts were identified as a future area for exploration.
• Intellectual property issues complicated private sector collaboration under pro bono arrangements.
• Beneficiary consent was obtained but complicated by the complexity of blockchain technology.
• The pilot focused on transparency and accountability rather than full digital identity deployment.
• Future research priorities include expanding blockchain architecture, audit processes, and third-party integration.
• The pilot highlighted blockchain's potential for other humanitarian use cases such as smart contracts and peer-to-peer donations.",Learning Review Blockchain Open Loop Cash Transfer Pilot Project.pdf
